ImageFile,Fish,Flower,Gravel,Sugar
0011165.jpg,1,1,0,0
002be4f.jpg,1,1,0,1
0031ae9.jpg,1,1,0,1
0035239.jpg,0,1,1,0
003994e.jpg,1,0,1,1
00498ec.jpg,0,0,1,0
006bf7c.jpg,1,0,0,1
006c5a6.jpg,1,0,0,1
008233e.jpg,0,0,0,1
008a5ff.jpg,1,0,0,1
0091591.jpg,0,1,1,1
0095357.jpg,0,0,0,1
009e2f3.jpg,1,0,1,1
00a0954.jpg,0,0,1,1
00b81e1.jpg,0,1,1,1
00bea06.jpg,1,0,1,0
00cedfa.jpg,0,0,1,1
00d4443.jpg,0,0,0,1
00dec6a.jpg,1,1,1,1
0100a84.jpg,1,0,1,0
0104b5b.jpg,0,0,0,1
0107838.jpg,1,0,1,1
0118bff.jpg,0,1,0,1
011ba04.jpg,1,1,0,1
01242d7.jpg,1,0,1,1
014310a.jpg,1,0,0,1
0146ef3.jpg,1,0,0,0
0153a8b.jpg,1,0,1,1
015aa06.jpg,1,1,1,1
015b764.jpg,1,1,0,1
016c135.jpg,1,0,1,1
017ded1.jpg,1,0,0,1
0187cd7.jpg,0,1,1,1
01a7865.jpg,0,1,1,1
01c6ec3.jpg,0,1,0,0
01eecc1.jpg,1,0,0,0
0208ccf.jpg,0,1,0,1
021bb26.jpg,1,0,0,1
0225687.jpg,1,1,1,0
022a275.jpg,0,0,1,0
022d78c.jpg,0,1,1,0
022fd47.jpg,0,0,1,0
023accd.jpg,1,1,1,0
025ad96.jpg,0,0,1,0
02601cd.jpg,0,1,1,1
0269e9a.jpg,1,1,0,0
027000d.jpg,0,0,1,1
0277e9a.jpg,1,0,1,1
028fd83.jpg,0,0,1,1
028fe8a.jpg,0,1,0,1
029b861.jpg,1,0,0,0
02b6a5d.jpg,1,0,1,0
02c3e33.jpg,1,0,0,1
030ac75.jpg,1,1,1,0
031bfc5.jpg,1,0,1,1
0326622.jpg,1,0,0,1
0330f49.jpg,1,0,1,0
034a383.jpg,1,1,0,0
034ef1c.jpg,1,0,0,0
0358d2e.jpg,1,0,0,1
0362b0a.jpg,0,1,0,0
0365c50.jpg,0,1,1,1
038407e.jpg,0,1,0,1
03a5e35.jpg,1,0,1,1
03b1dc4.jpg,0,0,1,1
03c3906.jpg,1,1,0,1
03eb81a.jpg,1,0,0,1
03ed174.jpg,0,1,1,1
04029b4.jpg,0,1,0,1
041cc12.jpg,0,1,1,1
042bba1.jpg,1,0,1,1
042f854.jpg,0,0,1,1
0432314.jpg,1,1,1,1
0434aa4.jpg,0,1,1,1
043e76c.jpg,1,1,1,1
043fe61.jpg,1,1,0,1
0448942.jpg,1,0,1,0
044b59c.jpg,0,0,0,1
0451ee4.jpg,1,0,1,1
045e367.jpg,1,0,1,1
046586a.jpg,0,0,0,1
047be07.jpg,0,1,0,1
0488540.jpg,1,0,1,1
04920b8.jpg,0,0,1,1
0493d31.jpg,0,0,0,1
049585f.jpg,1,1,1,1
0499a68.jpg,0,0,1,1
04a4276.jpg,1,1,0,0
04c2acd.jpg,1,1,0,1
04d2879.jpg,0,1,0,1
04d5fe8.jpg,1,0,1,0
04d92ec.jpg,1,1,1,1
04df149.jpg,0,1,1,0
04f9039.jpg,1,0,1,1
04fddf9.jpg,0,1,1,0
04fe809.jpg,1,0,1,1
05028f9.jpg,0,1,0,1
0502b9e.jpg,0,0,1,1
0505b52.jpg,1,1,0,0
050937d.jpg,1,0,0,1
05193c8.jpg,0,0,1,1
053f180.jpg,0,1,0,0
054c1e5.jpg,1,1,0,1
0556b64.jpg,1,0,0,1
05572a2.jpg,0,1,1,1
055ebcb.jpg,0,1,1,0
0561c49.jpg,0,1,1,1
056b48e.jpg,0,1,0,1
05776fc.jpg,1,1,0,1
059cca2.jpg,0,0,1,1
059fc10.jpg,1,1,0,1
05a1aa8.jpg,1,0,0,1
05c0dfb.jpg,1,0,0,0
05e20ba.jpg,1,0,1,1
05e67a7.jpg,0,0,0,1
05ea471.jpg,0,0,0,1
05f1431.jpg,0,1,0,1
05f5370.jpg,1,1,1,1
060774a.jpg,0,0,1,1
060ce39.jpg,1,1,0,1
061cda5.jpg,0,0,0,1
0624fa5.jpg,1,0,1,0
064dd48.jpg,0,0,1,1
065623d.jpg,1,0,1,1
066c71d.jpg,0,1,1,0
066f427.jpg,0,1,0,1
06728a1.jpg,0,1,0,0
0686242.jpg,1,1,1,0
068771e.jpg,1,0,1,1
0687f62.jpg,0,0,1,0
068d881.jpg,0,0,1,1
06968b0.jpg,0,1,0,1
0697495.jpg,1,0,0,0
0698236.jpg,1,1,1,1
06b7be8.jpg,1,0,0,0
06b84fd.jpg,1,0,1,0
06d6a41.jpg,0,0,0,1
06e5dd6.jpg,1,0,1,1
06f1f1f.jpg,1,0,1,1
070f5c6.jpg,0,1,0,1
0718a60.jpg,0,0,1,1
071edac.jpg,0,1,0,0
0721695.jpg,1,0,0,1
072c41a.jpg,0,1,1,1
07358b2.jpg,0,0,1,1
0741fda.jpg,0,1,1,1
0745d08.jpg,0,1,0,1
07551f3.jpg,0,1,1,0
0761274.jpg,0,1,0,0
0766057.jpg,1,1,0,0
076de5e.jpg,0,1,0,0
0770f53.jpg,1,1,0,1
0778609.jpg,0,0,0,1
077bd40.jpg,0,1,1,0
0799206.jpg,0,0,0,1
079aef5.jpg,0,1,0,1
07c3377.jpg,0,1,0,0
07c5a0d.jpg,1,0,1,1
07c5fc9.jpg,1,0,0,1
07f289d.jpg,0,1,0,1
07f403d.jpg,1,1,0,1
080c004.jpg,1,0,1,1
0821c37.jpg,0,1,0,1
08329b8.jpg,0,0,1,1
085507c.jpg,1,0,0,1
0862841.jpg,1,1,1,1
086b4ce.jpg,1,0,1,0
086c226.jpg,0,0,1,1
0875ced.jpg,0,1,0,1
0879076.jpg,1,0,0,1
087f98b.jpg,0,0,0,1
08aa34b.jpg,1,0,0,1
08b4cfe.jpg,0,0,1,1
08b7a6a.jpg,0,0,1,1
08b9a6f.jpg,1,0,0,1
08e5ced.jpg,1,0,1,1
08ece64.jpg,0,1,0,1
08f255e.jpg,1,0,0,0
08f8226.jpg,0,1,0,1
08f8fe9.jpg,0,1,0,0
09024fd.jpg,0,1,0,1
090a037.jpg,1,0,1,1
0916eef.jpg,1,0,0,1
0917ffe.jpg,1,1,0,0
0929f85.jpg,0,0,1,0
09439a0.jpg,0,1,1,0
094e354.jpg,0,0,0,1
0966d21.jpg,0,0,0,1
0968521.jpg,1,0,0,1
098252b.jpg,1,1,0,1
098c5e0.jpg,1,1,0,1
09a95c4.jpg,1,1,1,1
09bde05.jpg,0,1,0,1
09bdff1.jpg,0,0,1,1
09c269d.jpg,0,0,1,1
09c64c8.jpg,0,0,1,1
09cf686.jpg,0,1,1,1
09cfd7c.jpg,0,1,0,1
09d0eee.jpg,0,1,0,0
09d3a37.jpg,0,1,0,0
09d567c.jpg,0,1,0,1
09e313c.jpg,0,1,1,1
09ed9b1.jpg,0,1,1,1
09f7f88.jpg,0,0,1,1
0a14f2b.jpg,1,0,1,1
0a1b596.jpg,0,0,1,1
0a20edf.jpg,0,0,1,0
0a21f23.jpg,1,0,1,1
0a3154d.jpg,0,0,1,1
0a380d0.jpg,0,1,0,0
0a421b8.jpg,1,1,0,0
0a44491.jpg,0,1,1,1
0a4657d.jpg,1,1,0,0
0a515e3.jpg,1,0,1,0
0a5d418.jpg,0,1,0,1
0a60891.jpg,0,0,1,1
0a709e6.jpg,1,1,0,0
0a7a247.jpg,1,0,1,0
0a89811.jpg,0,1,1,0
0a914ab.jpg,0,0,0,1
0a969b9.jpg,1,0,1,1
0a97028.jpg,0,0,1,1
0a99863.jpg,1,1,1,0
0aa2df7.jpg,0,1,0,0
0aaa299.jpg,1,1,1,0
0aaa3dd.jpg,1,0,0,0
0ab1fb2.jpg,0,1,0,1
0ab6229.jpg,1,0,0,1
0ac087b.jpg,0,0,1,1
0ac5f5c.jpg,0,1,0,0
0ad0a05.jpg,0,1,1,1
0ad3dde.jpg,0,1,0,1
0ad97bb.jpg,0,0,1,0
0ae8c34.jpg,1,0,1,1
0ae968e.jpg,1,1,0,0
0afaa7f.jpg,0,0,1,1
0afd5a6.jpg,0,1,1,0
0b10051.jpg,0,1,0,0
0b1dd45.jpg,0,0,1,1
0b265f4.jpg,0,0,1,1
0b32df8.jpg,1,0,1,1
0b3fd78.jpg,1,0,0,1
0b4fb36.jpg,0,1,1,1
0b53e2c.jpg,1,1,0,1
0b5a667.jpg,0,1,0,1
0b652e1.jpg,1,0,0,0
0b6e69c.jpg,0,0,0,1
0b80c78.jpg,1,0,0,1
0bb16fb.jpg,0,1,0,1
0bb93f0.jpg,0,1,1,1
0bca0fc.jpg,0,1,1,1
0bdb3e1.jpg,1,1,1,1
0be49f7.jpg,1,0,0,1
0bfbfc8.jpg,1,0,0,1
0c0e600.jpg,0,0,0,1
0c10e30.jpg,0,1,0,0
0c15f22.jpg,1,1,1,1
0c1d048.jpg,1,1,1,1
0c1e565.jpg,0,1,1,1
0c2a033.jpg,1,0,1,1
0c4cbab.jpg,0,0,1,1
0c4f038.jpg,0,1,1,1
0c64c69.jpg,0,1,0,1
0c76794.jpg,1,0,0,1
0c88342.jpg,1,0,1,1
0c95a41.jpg,1,0,0,0
0ca6ecd.jpg,0,0,1,1
0cabeda.jpg,1,0,1,1
0cad5f3.jpg,1,1,1,0
0cb6144.jpg,1,1,1,1
0cd0a7d.jpg,0,0,0,1
0cd556b.jpg,0,1,1,0
0cdffd9.jpg,1,0,0,1
0cf1dcc.jpg,1,0,0,1
0cf6773.jpg,0,1,0,1
0d01dad.jpg,1,0,1,1
0d08b24.jpg,0,1,0,0
0d0af9a.jpg,0,0,1,1
0d0b28c.jpg,1,0,1,1
0d0de88.jpg,1,0,0,1
0d24e80.jpg,1,0,0,0
0d38eab.jpg,1,0,0,1
0d56b5d.jpg,1,1,1,1
0d675fc.jpg,1,1,0,1
0d6d044.jpg,1,0,0,0
0d73dcc.jpg,0,1,1,1
0d81f99.jpg,1,1,0,0
0d82645.jpg,0,1,0,1
0d84609.jpg,0,0,1,1
0d90683.jpg,1,0,0,0
0dab774.jpg,1,0,0,0
0db22fe.jpg,1,0,1,1
0dbccb5.jpg,0,1,0,1
0dbe95f.jpg,1,0,1,0
0dc7bb3.jpg,0,0,1,1
0dcd917.jpg,1,0,1,1
0dd0c51.jpg,1,0,1,0
0ddf358.jpg,1,0,1,1
0de33f1.jpg,1,0,0,1
0dfbb7e.jpg,1,0,1,1
0e00929.jpg,1,1,1,0
0e2612c.jpg,1,1,0,0
0e26259.jpg,0,1,0,0
0e407e8.jpg,0,1,0,1
0e42958.jpg,0,0,1,1
0e47c4d.jpg,1,1,1,1
0e54437.jpg,1,1,1,1
0e56ffd.jpg,1,0,1,0
0e77759.jpg,0,0,1,1
0e79fa8.jpg,1,0,1,1
0e86f87.jpg,0,1,0,1
0e8c498.jpg,0,0,1,1
0e9c181.jpg,0,0,1,1
0e9deba.jpg,1,0,1,1
0ea56ef.jpg,1,1,1,1
0eb8784.jpg,0,1,0,1
0eba747.jpg,1,0,0,0
0ebb3e3.jpg,1,0,1,1
0ece863.jpg,0,0,1,1
0eecb90.jpg,0,1,0,1
0eee242.jpg,0,0,1,0
